"latitude";"longitude";"Schulnummer";"Schulname";"Schule.PLZ";"Schule.Strasse";"Schule.Hausnr";"Schule.Hausnr.2";"Kennz.Zweigstelle";"Ergebnis"
53.612426;9.887501;5104;"Grundschule Lohkampstraﬂe";22523;"Lohkampstraﬂe";145;"";"keine Zweigstelle";185
53.556247;10.010763;5105;"Heinrich-Wolgast-Schule";20099;"Greifswalder Straﬂe";40;"";"keine Zweigstelle";343
53.556882;10.041896;5106;"Schule Hohe Landwehr";20535;"Hohe Landwehr";19;"";"keine Zweigstelle";291
53.670651;10.028704;5111;"Grundschule Am Heidberg";22417;"Tangstedter Landstraﬂe";300;"";"keine Zweigstelle";413
53.492228;10.010266;5117;"Grundschule Kirchdorf";21109;"Prassekstraﬂe";5;"";"keine Zweigstelle";344
53.5442;10.119365;5118;"Grundschule Archenholzstraﬂe";22117;"Archenholzstraﬂe";55;"";"keine Zweigstelle";326
53.526661;9.880955;5119;"Westerschule Finkenwerder";21129;"Finkenwerder Landscheideweg";180;"";"keine Zweigstelle";254
53.535398;10.038835;5121;"Schule Marckmannstraﬂe";20539;"Marckmannstraﬂe";60;"";"keine Zweigstelle";95
53.588752;9.983754;5124;"Grundschule St. Nikolai";20249;"Robert-Koch-Straﬂe";15;"";"keine Zweigstelle";301
53.579393;10.026124;5127;"Goldbek-Schule";22083;"Imstedt";18;"";"keine Zweigstelle";236
53.552325;10.083003;5130;"Schule Beim Pachthof";22111;"Beim Pachthof";15;"";"keine Zweigstelle";299
53.536103;10.04046;5134;"Fritz-Kˆhne-Schule";20539;"Marckmannstraﬂe";61;"";"keine Zweigstelle";257
53.638743;10.119224;5136;"Grundschule Hasenweg";22393;"Hasenweg";40;"";"keine Zweigstelle";356
53.563748;9.953492;5137;"Grundschule Arnkielstraﬂe";22769;"Arnkielstraﬂe";2;"";"keine Zweigstelle";344
53.54877;10.056462;5139;"Grundschule Osterbrook";20537;"Osterbrook";17;"";"keine Zweigstelle";228
53.659116;10.079312;5143;"Grundschule Poppenb¸ttel";22399;"Schulbergredder";21;"";"keine Zweigstelle";244
53.55293;9.899824;5145;"Elbschule Bildungszentrum Hˆren und Kommunikation";22605;"Holmbrook";20;"";"keine Zweigstelle";209
53.566962;9.830032;5158;"Elbkinder Grundschule";22589;"Grotefendweg";20;"";"keine Zweigstelle";305
53.533594;10.13098;5160;"Schule An der Glinder Au";22115;"Sonnenland";27;"";"keine Zweigstelle";241
53.564154;9.964033;5167;"Ganztagsgrundschule Sternschanze";20357;"Altonaer Straﬂe";38;"";"keine Zweigstelle";262
53.559555;9.965744;5167;"Ganztagsgrundschule Sternschanze";20357;"Ludwigstraﬂe";7;"";"Zweigstelle";300
53.555037;10.095588;5169;"Schule Speckenreye";22119;"Speckenreye";11;"";"keine Zweigstelle";229
53.549328;10.094234;5171;"Schule Stengelestraﬂe";22111;"Stengelestraﬂe";38;"";"keine Zweigstelle";406
53.532344;10.108316;5172;"Schule am Schleemer Park";22113;"Billbrookdeich";266;"";"Zweigstelle";155
53.537529;10.120308;5172;"Schule am Schleemer Park";22117;"Oberschleems";9;"";"keine Zweigstelle";300
53.55974;10.111833;5173;"Schule Sterntalerstraﬂe";22119;"Sterntalerstraﬂe";42;"";"keine Zweigstelle";214
53.545004;10.135797;5174;"Schule Bonhoefferstraﬂe";22117;"Bonhoefferstraﬂe";13;"";"keine Zweigstelle";232
53.561298;10.121933;5175;"Schule Fuchsbergredder";22119;"Dringsheide";10;"";"keine Zweigstelle";243
53.558395;9.92627;5202;"Schule Bahrenfelder Straﬂe";22765;"Gauﬂstraﬂe";171;"";"keine Zweigstelle";363
53.614721;10.07761;5205;"Grundschule Bramfeld";22179;"Bramfelder Dorfplatz";5;"";"Zweigstelle";85
53.605828;10.082094;5205;"Grundschule Bramfeld";22179;"Hegholt";44;"";"keine Zweigstelle";251
53.554149;9.950344;5206;"Louise Schroeder Schule";22767;"Thedestraﬂe";100;"";"keine Zweigstelle";487
53.629535;10.126143;5208;"Grundschule Karlshˆhe mit Zweigstellen";22159;"Lienaustraﬂe";32;"";"Zweigstelle";102
53.620388;10.089992;5208;"Grundschule Karlshˆhe mit Zweigstellen";22175;"Hohnerkamp";58;"";"Zweigstelle";104
53.626941;10.110786;5208;"Grundschule Karlshˆhe mit Zweigstellen";22175;"Thomas-Mann-Straﬂe";2;"";"keine Zweigstelle";220
53.553082;9.883526;5209;"Schule Klein Flottbeker Weg";22605;"Klein Flottbeker Weg";64;"";"keine Zweigstelle";308
53.552614;9.90207;5210;"Loki-Schmidt-Schule";22763;"Othmarscher Kirchenweg";145;"";"keine Zweigstelle";268
53.548775;9.929801;5211;"Schule Rothestraﬂe";22765;"Rothestraﬂe";22;"";"keine Zweigstelle";403
53.547516;9.9449;5212;"Ganztagsschule an der Elbe";22767;"Struenseestraﬂe";32;"";"keine Zweigstelle";146
53.556237;9.95584;5214;"Grundschule Thadenstraﬂe";22767;"Thadenstraﬂe";147;"";"keine Zweigstelle";435
53.559446;9.941075;5216;"Theodor-Haubach-Schule";22765;"Haubachstraﬂe";55;"";"keine Zweigstelle";271
53.547792;9.910527;5217;"Schule Trenknerweg";22605;"Trenknerweg";136;"";"keine Zweigstelle";422
53.551987;9.900959;5219;"Schule Hirtenweg";22605;"Holmbrook";10;"";"keine Zweigstelle";191
53.571367;10.103058;5220;"Grundschule Schimmelmannstraﬂe";22043;"Schimmelmannstraﬂe";70;"";"keine Zweigstelle";387
53.570788;9.848959;5231;"Grundschule Goosacker";22549;"Goosacker";41;"";"keine Zweigstelle";292
53.563788;9.800967;5232;"Gorch-Fock-Schule";22587;"Karstenstraﬂe";22;"";"keine Zweigstelle";509
53.575411;9.762019;5234;"Schule Iserbarg";22559;"Iserbarg";2;"";"keine Zweigstelle";348
53.584645;9.790716;5235;"Schule Lehmkuhlenweg";22589;"Lehmkuhlenweg";19;"";"keine Zweigstelle";314
53.584287;9.76202;5236;"Schule Marschweg";22559;"Marschweg";10;"";"keine Zweigstelle";309
53.563665;9.905968;5237;"Schule Mendelssohnstraﬂe";22761;"Mendelssohnstraﬂe";86;"";"keine Zweigstelle";297
53.579803;9.812264;5238;"Schule Iserbrook";22589;"Mus‰usstraﬂe";29;"";"keine Zweigstelle";221
53.567742;9.89429;5239;"Grundschule Groﬂ Flottbek";22607;"Osdorfer Weg";24;"";"keine Zweigstelle";348
53.577256;9.825669;5240;"Schule Schenefelder Landstraﬂe";22589;"Schenefelder Landstraﬂe";206;"";"keine Zweigstelle";203
53.552589;9.84689;5243;"Schule Schulkamp";22609;"Schulkamp";1;"";"keine Zweigstelle";274
53.566788;9.869902;5244;"Schule Windm¸hlenweg";22607;"Windm¸hlenweg";17;"";"keine Zweigstelle";415
53.573302;9.89964;5245;"Schule Kielkamp";22761;"Kielkamp";16;"";"keine Zweigstelle";132
53.552326;9.978212;5248;"Rudolf-Roﬂ-Grundschule";20355;"Kurze Straﬂe";30;"";"keine Zweigstelle";316
53.559502;10.074679;5250;"Grundschule Horn";22111;"Rhiemsweg";61;"";"keine Zweigstelle";255
53.617781;10.15427;5252;"Grundschule Nydamer Weg";22145;"Nydamer Weg";44;"";"keine Zweigstelle";340
53.607876;9.873099;5263;"Grundschule Franzosenkoppel";22547;"Franzosenkoppel";118;"";"keine Zweigstelle";272
53.60058;9.869762;5264;"Fridtjof-Nansen-Schule";22547;"Fahrenort";76;"";"keine Zweigstelle";373
53.598852;9.860145;5264;"Fridtjof-Nansen-Schule";22547;"Swatten Weg";10;"";"Zweigstelle";195
53.605234;9.901253;5265;"Schule Furtweg";22523;"Furtweg";56;"";"keine Zweigstelle";257
53.59694;9.890479;5267;"Schule Langbargheide";22547;"Langbargheide";40;"";"keine Zweigstelle";243
53.590678;9.873084;5270;"Grundschule Luruper Hauptstraﬂe";22547;"Luruper Hauptstraﬂe";131;"";"keine Zweigstelle";208
53.616078;9.899188;5271;"Max-Traeger-Schule";22523;"Baumacker";10;"";"keine Zweigstelle";158
53.611205;9.911701;5274;"Schule Rungwisch";22523;"Rungwisch";23;"";"keine Zweigstelle";274
53.575567;9.861348;5277;"Schule Wesperloh";22549;"Wesperloh";19;"";"keine Zweigstelle";336
53.588653;9.846065;5278;"Schule Kroonhorst";22549;"Kroonhorst";25;"";"keine Zweigstelle";211
53.583473;9.857109;5280;"Schule Barlsheide";22549;"Bornheide";2;"";"keine Zweigstelle";396
53.575592;9.968352;5301;"Schule An der Isebek";20253;"Bismarckstraﬂe";83;"";"keine Zweigstelle";361
53.581427;9.96784;5304;"Grundschule Hoheluft";20253;"Wrangelstraﬂe";80;"";"keine Zweigstelle";299
53.571583;9.946981;5305;"Schule Eduardstraﬂe";20257;"Eduardstraﬂe";28;"";"keine Zweigstelle";164
53.572099;9.974417;5308;"Schule Kielortallee";20144;"Kielortallee";18;"";"keine Zweigstelle";437
53.584667;9.939475;5309;"Schule Brehmweg";22527;"Brehmweg";62;"";"keine Zweigstelle";250
53.58136;9.952903;5310;"Schule Lutterothstraﬂe";20255;"Lutterothstraﬂe";34;"";"keine Zweigstelle";374
53.573777;9.941493;5312;"Schule Rellinger Straﬂe";20257;"Rellinger Straﬂe";13;"";"keine Zweigstelle";392
53.574118;9.953183;5315;"Schule Tornquiststraﬂe";20259;"Tornquiststraﬂe";60;"";"keine Zweigstelle";335
53.571847;9.992111;5316;"Schule Turmweg";20148;"Turmweg";33;"";"keine Zweigstelle";510
53.646513;9.919377;5328;"Schule Rˆnnkamp";22457;"Rˆnnkamp";3;"";"keine Zweigstelle";203
53.641662;9.919078;5330;"Schule Anna-Susanna-Stieg";22457;"Anna-Susanna-Stieg";3;"";"keine Zweigstelle";379
53.623773;9.946805;5331;"Grundschule Bindfeldweg";22459;"Bindfeldweg";37;"";"keine Zweigstelle";259
53.627895;9.96383;5332;"Schule Burgunderweg";22453;"Burgunderweg";2;"";"keine Zweigstelle";381
53.620111;9.889478;5333;"Schule Heidacker";22523;"Heidacker";13;"";"keine Zweigstelle";239
53.59576;9.954919;5334;"Schule Dˆhrnstraﬂe";22529;"Dˆhrnstraﬂe";42;"";"keine Zweigstelle";441
53.632696;9.918786;5335;"Schule Frohmestraﬂe";22457;"Frohmestraﬂe";42;"";"keine Zweigstelle";364
53.60305;9.94547;5336;"Schule Hinter der Lieth";22529;"Hinter der Lieth";61;"";"keine Zweigstelle";302
53.589022;9.926298;5339;"Schule Molkenbuhrstraﬂe";22525;"Molkenbuhrstraﬂe";2;"";"keine Zweigstelle";182
53.634086;9.943087;5342;"Schule Sethweg";22455;"Sethweg";56;"";"keine Zweigstelle";331
53.589243;9.950462;5344;"Schule Vizelinstraﬂe";22529;"Vizelinstraﬂe";50;"";"keine Zweigstelle";295
53.602495;9.923313;5345;"Schule Wegenkamp";22527;"Wegenkamp";9;"";"keine Zweigstelle";208
53.607186;9.971537;5346;"Schule Lokstedter Damm";22453;"Lokstedter Damm";38;"";"keine Zweigstelle";103
53.64243;9.94415;5347;"Schule Moorflagen";22455;"Wagrierweg";18;"";"keine Zweigstelle";218
53.640954;9.961005;5348;"Grundschule Sachsenweg";22455;"Sachsenweg";74;"";"keine Zweigstelle";231
53.627606;9.924638;5349;"Schule Rˆthmoorweg";22459;"Rˆthmoorweg";9;"";"keine Zweigstelle";133
53.559261;9.957769;5350;"ReBBZ Altona";22767;"Bernstorffstraﬂe";147;"";"keine Zweigstelle";94
53.545579;9.948363;5350;"ReBBZ Altona";22767;"Carsten-Rehder-Straﬂe";34;"";"Zweigstelle";72
53.592384;9.861092;5351;"ReBBZ Altona-West";22549;"Bˆttcherkamp";144;"";"keine Zweigstelle";109
53.49697;10.206435;5352;"ReBBZ Bergedorf";21031;"Leuschnerstraﬂe";13;"";"keine Zweigstelle";100
53.511664;10.205529;5352;"ReBBZ Bergedorf";21031;"Reinbeker Redder";274;"";"Zweigstelle";118
53.623773;9.946805;5353;"ReBBZ Eimsb¸ttel";22459;"Bindfeldweg";37;"";"keine Zweigstelle";93
53.476122;9.865096;5354;"ReBBZ S¸derelbe";21147;"Neuwiedenthaler Straﬂe";4;"";"keine Zweigstelle";103
53.453855;9.973383;5355;"ReBBZ Harburg";21073;"Baererstraﬂe";81;"";"keine Zweigstelle";166
53.463272;9.974875;5355;"ReBBZ Harburg";21073;"Schwarzenbergstraﬂe";72;"";"Zweigstelle";139
53.541275;10.10348;5356;"ReBBZ Billstedt";22111;"Hauskoppelstieg";12;"";"Zweigstelle";111
53.561298;10.121933;5356;"ReBBZ Billstedt";22119;"Dringsheide";10;"";"Zweigstelle";51
53.546973;10.101187;5356;"ReBBZ Billstedt";22119;"Steinfeldtstraﬂe";1;"";"keine Zweigstelle";24
53.510535;9.995494;5357;"ReBBZ Wilhelmsburg";21107;"Zeidlerstraﬂe";50;"";"Zweigstelle";149
53.48729;10.02213;5357;"ReBBZ Wilhelmsburg";21109;"Karl-Arnold-Ring";11;"";"Zweigstelle";10
53.499651;10.012923;5357;"ReBBZ Wilhelmsburg";21109;"Krieterstraﬂe";2;"a";"keine Zweigstelle";142
53.556247;10.010763;5358;"ReBBZ Mitte";20099;"Greifswalder Straﬂe";40;"";"Zweigstelle";154
53.582849;10.037425;5359;"ReBBZ Winterhude";22083;"Brucknerstraﬂe";17;"";"Zweigstelle";38
53.625423;10.015219;5359;"ReBBZ Winterhude";22335;"Eschenweg";1;"";"keine Zweigstelle";116
53.615169;10.020527;5360;"ReBBZ Nord";22297;"Sengelmannstraﬂe";50;"";"keine Zweigstelle";125
53.606677;10.170794;5361;"ReBBZ Wandsbek-Nord";22143;"Sieker Landstraﬂe";18;"";"Zweigstelle";101
53.620388;10.089992;5361;"ReBBZ Wandsbek-Nord";22175;"Hohnerkamp";58;"";"keine Zweigstelle";141
53.562599;10.074605;5362;"ReBBZ Wandsbek-S¸d";22043;"Zitzewitzstraﬂe";51;"";"keine Zweigstelle";207
53.615942;10.092885;5362;"ReBBZ Wandsbek-S¸d";22179;"Heidst¸cken";33;"";"Zweigstelle";182
53.596149;9.9963;5400;"Schule Alsterdorfer Straﬂe";22299;"Alsterdorfer Straﬂe";39;"";"keine Zweigstelle";350
53.584454;10.013877;5404;"Schule Forsmannstraﬂe";22303;"Forsmannstraﬂe";32;"";"keine Zweigstelle";341
53.573645;10.026915;5405;"Schule Humboldtstraﬂe";22083;"Humboldtstraﬂe";30;"";"keine Zweigstelle";247
53.590235;9.990755;5409;"Schule Knauerstraﬂe";20249;"Knauerstraﬂe";22;"";"keine Zweigstelle";238
53.591888;9.984925;5413;"Marie-Besch¸tz-Schule";20251;"Schottm¸llerstraﬂe";23;"";"keine Zweigstelle";358
53.570061;10.026932;5416;"Schule auf der Uhlenhorst";22085;"Winterhuder Weg";126;"";"keine Zweigstelle";343
53.613728;10.02134;5417;"Kurt-Juster-Schule";22297;"Alsterdorfer Straﬂe";420;"";"keine Zweigstelle";82
53.601326;10.012205;5418;"Bildungszentrum f¸r Blinde und Sehbehinderte";22297;"Carl-Cohn-Straﬂe";2;"";"Zweigstelle";51
53.591565;10.013456;5418;"Bildungszentrum f¸r Blinde und Sehbehinderte";22303;"Borgweg";17;"";"keine Zweigstelle";95
53.597852;10.136627;5419;"Schule Tegelweg";22147;"Paracelsusstraﬂe";30;"";"Zweigstelle";13
53.601383;10.109127;5419;"Schule Tegelweg";22159;"Tegelweg";104;"";"keine Zweigstelle";118
53.60003;10.096123;5419;"Schule Tegelweg";22179;"Turnierstieg";16;"";"Zweigstelle";5
53.5782;10.04736;5430;"Adolph-Schˆnfelder-Schule";22081;"Zeisigstraﬂe";3;"";"keine Zweigstelle";271
